name,name_kr,bre_name,country,대분류,소분류,abv,image
Hoppy Feet 1.5,,Clown Shoes,US,ALE,American Black Ale,10,dale.jpg
Hoppy Feet,,Clown Shoes,US,ALE,American Black Ale,7,dale.jpg
Hoppy Daze IPA,,Coronado Brewing Company,US,ALE,Belgian IPA,9,ipa.jpg
Hoppy Blonde,,New Belgium Brewing,US,ALE,American Blonde Ale,5.7,pa.jpg
Hoppy Birthday,,Alpine Beer Company,US,ALE,American IPA,5.3,ipa.jpg
Hoppy Adventure,,Harpoon Brewery & Beer Hall,US,ALE,American Imperial IPA,7.8,ipa.jpg
Hoppus Maximus,,Thirsty Dog Brewing Company,US,ALE,American Amber / Red Ale,5.9,rale.jpg
HopPun,,Carton Brewing Company,US,ALE,American Pale Ale (APA),5.3,pa.jpg
Hopportunity Knocks,,Caldera Brewing Company,US,ALE,American IPA,6.8,ipa.jpg
Hoppiness Is A Warm Pun,,Brewmaster Jack,US,ALE,New England IPA,8.2,ipa.jpg
Hoppin' To Heaven IPA,,Hoppin' Frog Brewery,US,ALE,American IPA,6.8,ipa.jpg
Hoppin' Helles,,Jacob Leinenkugel Brewing Company,US,ETC,German Helles,5.5,pa.jpg
Hoppin' Frog / Cigar City Brewing - Daredevils Got Game,,Hoppin' Frog Brewery,US,STOUT,American Imperial Stout,10.4,st.jpg
Hoppenberg Uncertainty Principle,,River North Brewery,US,ALE,Belgian IPA,9,ipa.jpg
Hopped-Up Goose Juice,,Hoppin' Frog Brewery,US,ALE,American IPA,7,ipa.jpg
Hopped On The High Seas- Citra,,Cigar City Brewing,US,ALE,American IPA,7.2,ipa.jpg
Hopped On The High Seas - Kohatu,,Cigar City Brewing,US,ALE,American IPA,7.2,ipa.jpg
Hopped On The High Seas - Hop #529,,Cigar City Brewing,US,ALE,American IPA,7.2,ipa.jpg
Hopped On The High Seas - Calypso,,Cigar City Brewing,US,ALE,American IPA,7.2,ipa.jpg
Hopped In Half,,3 Floyds Brewing Co.,US,ETC,Bohemian Pilsener,5.3,pil.jpg
Hoppe (Imperial Extra Pale Ale),,Southern Tier Brewing Company,US,ALE,American Imperial IPA,8,ipa.jpg
Hopothesis IPA,,Hopothesis Beer Company,US,ALE,English India Pale Ale (IPA),7.1,ipa.jpg
Hoponius Union,,Jack's Abby Brewing,US,LAGER,American Lager,6.7,lg.jpg
Hop-O-Matic,,Ritual Brewing Co.,US,ALE,American IPA,7.1,ipa.jpg
Hopocalypse Black Label,,Drake's Brewing Co.,US,ALE,American Imperial IPA,12.5,ipa.jpg
Hopocalypse,,Drake's Brewing Co.,US,ALE,American Imperial IPA,9.3,ipa.jpg
Hopnotic India Pale Ale,,Cricket Hill Brewing Co.,US,ALE,English India Pale Ale (IPA),6.5,ipa.jpg
Hopluia,,Spilker Ales,US,ALE,Belgian Pale Ale,5.6,pa.jpg
Hop'lin IPA,,Southbound Brewing Company,US,ALE,American IPA,6.2,ipa.jpg
Hopjob Session IPA,,Foothills Brewing Company - Downtown Brewpub,US,ALE,American IPA,4.9,ipa.jpg
Hopitoulas IPA,,New Orleans Lager & Ale Brewing Company (NOLA),US,ALE,American IPA,6,ipa.jpg
Hophazardly,,Begyle Brewing Company,US,ALE,American IPA,7.1,ipa.jpg
HopHands,,Tired Hands Brewing Company,US,ALE,American Pale Ale (APA),5.5,pa.jpg
Hopflake White IPA,,Boston Beer Company (Samuel Adams),US,ALE,American IPA,6,ipa.jpg
